Name,Price,CPU,RAM,Storage,Retailer,RAM_GB,Storage_GB,TextFeatures,Cluster
"Acer Nitro V 15 ANV15-41 15,6"" FHD 165 Hz",8490.0,Ryzen 5 6600H,16 GB RAM,512 GB SSD,Komplett,16.0,512.0,Ryzen 5 6600H,8.0
"MSI Prestige 14Evo B13M 14"" WUXGA",18490.0,Core i7-13700H,16 GB RAM,1 TB SSD,Komplett,16.0,1024.0,Core i7-13700H,9.0
"Lenovo V15 G4 15,6"" Full HD",6863.0,Ryzen 5 7520U,16 GB RAM,512 GB SSD,Komplett,16.0,512.0,Ryzen 5 7520U,8.0
"Lenovo V15 G4 15,6"" Full HD",6863.0,Ryzen 5 7520U,16 GB RAM,512 GB SSD,Komplett,16.0,512.0,Ryzen 5 7520U,8.0
"Lenovo V15 G4 15,6"" Full HD",6863.0,Ryzen 5 7520U,16 GB RAM,512 GB SSD,Komplett,16.0,512.0,Ryzen 5 7520U,6.0
"Lenovo V15 G4 15,6"" Full HD",6863.0,Ryzen 5 7520U,16 GB RAM,512 GB SSD,Komplett,16.0,512.0,Ryzen 5 7520U,6.0
"Lenovo V15 G4 15,6"" Full HD",6863.0,Ryzen 5 7520U,16 GB RAM,512 GB SSD,Komplett,16.0,512.0,Ryzen 5 7520U,6.0
"Lenovo Ideapad Slim 3 14"" FHD (arctic grey)",5990.0,Core i3-N305,8 GB RAM,128 GB SSD UFS,Komplett,8.0,128.0,Core i3-N305,6.0
"Lenovo Ideapad Slim 3 14"" FHD (arctic grey)",5990.0,Core i3-N305,8 GB RAM,128 GB SSD UFS,Komplett,8.0,128.0,Core i3-N305,6.0
"Lenovo Yoga Slim 6 14"" WUXGA OLED",12990.0,Core i7-13700H,16 GB RAM,1 TB SSD,Komplett,16.0,1024.0,Core i7-13700H,9.0
Macbook Pro 16 M4 Pro (2024) 512GB (silver),34990.0,Apple 20-core GPU,24GB RAM,512GB SSD,Komplett,24.0,512.0,Apple 20-core GPU,7.0
"MSI Vector 17 HX AI 17"" QHD+",35990.0,Core Ultra 9 275H,32 GB RAM,2 TB SSD,Komplett,32.0,2048.0,Core Ultra 9 275H,7.0
"MSI Vector 17 HX AI 17"" QHD+",35990.0,Core Ultra 9 275H,32 GB RAM,2 TB SSD,Komplett,32.0,2048.0,Core Ultra 9 275H,7.0
"HP Laptop 14-em0920no 14"" FHD",4990.0,Ryzen 5 7520,8 GB RAM,256 GB SSD,Komplett,8.0,256.0,Ryzen 5 7520,8.0
"Lenovo IdeaPad Slim 3 14"" FHD",6990.0,Core i5-12450H,16 GB RAM,512 GB SSD,Komplett,16.0,512.0,Core i5-12450H,6.0
"MSI Cyborg 14 A13VF 14"" FHD 144 Hz",15990.0,Core i7-13620H,16 GB RAM,512 GB SSD,Komplett,16.0,512.0,Core i7-13620H,9.0
"Lenovo Yoga Slim 7x 14"" OLED 3K touch Copilot+ PC",16490.0,unknown_cpu,16 GB RAM,1 TB SSD,Komplett,16.0,1024.0,unknown_cpu,3.0
"Acer Chromebook Plus 515 15,6"" FHD med Google AI",4990.0,Core i3-1315U,8 GB RAM,256 GB SSD,Komplett,8.0,256.0,Core i3-1315U,6.0
"MSI Creator A16 AI+ 16"" QHD+ 240Hz (Lunar Grey)",37990.0,Ryzen AI 9 HX 370,32 GB RAM,2 TB SSD,Komplett,32.0,2048.0,Ryzen AI 9 HX 370,7.0
"MSI Prestige A16 AI+ 16"" QHD+",23490.0,Ryzen AI 9 365,32 GB RAM,1 TB SSD,Komplett,32.0,1024.0,Ryzen AI 9 365,1.0
Macbook Pro 14 M4 (2024) 1TB (silver),24490.0,Apple 10-core GPU,16GB RAM,1TB SSD,Komplett,16.0,1024.0,Apple 10-core GPU,1.0
Macbook Pro 14 M4 (2024) 1TB (silver),24490.0,Apple 10-core GPU,16GB RAM,1TB SSD,Komplett,16.0,1024.0,Apple 10-core GPU,1.0
"HP Chromebook 14a-nf0001no 14"" HD",3990.0,Intel N100,8 GB RAM,128 GB SSD UFS,Komplett,8.0,128.0,Intel N100,6.0
"HP EliteBook X G1i Next Gen AI 14"" WUXGA",22024.0,Core Ultra 5 228V,32 GB RAM,512 GB SSD,Komplett,32.0,512.0,Core Ultra 5 228V,1.0
"HP ZBook Firefly 14 G11 14"" Mobile Workstation",28586.0,Ryzen 9 89450HS,64GB RAM,1TB SSD,Komplett,64.0,1024.0,Ryzen 9 89450HS,7.0
"HP EliteBook X G1i Next Gen AI 14"" WUXGA Touch",27483.0,Core Ultra 7 258V,32 GB RAM,1 TB SSD,Komplett,32.0,1024.0,Core Ultra 7 258V,1.0
"HP EliteBook Ultra G1i Next Gen AI PC 14"" 2.8K OLED Touch",26811.0,Core Ultra 7 258V,32 GB RAM,1 TB SSD,Komplett,32.0,1024.0,Core Ultra 7 258V,1.0
"HP ProBook 445 G11 14"" Full HD+",11999.0,Ryzen 5 7535U,16GB RAM,512GB SSD,Komplett,16.0,512.0,Ryzen 5 7535U,8.0
"HP ProBook 440 G11 14"" WUXGA",14778.0,Core U7-155U,16GB RAM,512GB SSD,Komplett,16.0,512.0,Core U7-155U,9.0
"HP ProBook 440 G11 14"" WUXGA",14778.0,Core U7-155U,16GB RAM,512GB SSD,Komplett,16.0,512.0,Core U7-155U,9.0
"HP ZBook Firefly 16 G11 16"" Mobile Workstation WUXGA",25299.0,Core Ultra 7 155H,32 GB RAM,512GB SSD,Komplett,32.0,512.0,Core Ultra 7 155H,1.0
"HP ZBook Firefly 16 G11 16"" Mobile Workstation WUXGA",25299.0,Core Ultra 7 155H,32 GB RAM,512GB SSD,Komplett,32.0,512.0,Core Ultra 7 155H,1.0
"HP Dragonfly G4 13.5"" Full HD+ Sureview",34309.0,Core i7-1355U,32 GB RAM,1 TB SSD,Komplett,32.0,1024.0,Core i7-1355U,7.0
"MSI Vector 16 HX 16"" QHD+ 240 Hz",37990.0,Core i9-14900HX,32 GB RAM,1 TB SSD,Komplett,32.0,1024.0,Core i9-14900HX,7.0
"Lenovo ThinkPad E16 G2 16"" WUXGA",12488.0,Core U7-155H,16GB RAM,512GB SSD,Komplett,16.0,512.0,Core U7-155H,9.0
"Lenovo ThinkPad E16 G2 16"" WUXGA",12488.0,Core U7-155H,16GB RAM,512GB SSD,Komplett,16.0,512.0,Core U7-155H,8.0
"Lenovo ThinkPad E16 G2 16"" WUXGA",12488.0,Core U7-155H,16GB RAM,512GB SSD,Komplett,16.0,512.0,Core U7-155H,9.0
"Lenovo ThinkPad E16 G2 16"" WUXGA",12488.0,Core U7-155H,16GB RAM,512GB SSD,Komplett,16.0,512.0,Core U7-155H,8.0
"Lenovo ThinkPad E16 G2 16"" WUXGA",13738.0,Ryzen 7 7735HS,16 GB RAM,1 TB SSD,Komplett,16.0,1024.0,Ryzen 7 7735HS,9.0
"Lenovo ThinkPad E16 G2 16"" WUXGA",13738.0,Ryzen 7 7735HS,16 GB RAM,1 TB SSD,Komplett,16.0,1024.0,Ryzen 7 7735HS,8.0
"Lenovo ThinkPad E16 G2 16"" WUXGA",13738.0,Ryzen 7 7735HS,16 GB RAM,1 TB SSD,Komplett,16.0,1024.0,Ryzen 7 7735HS,9.0
"Lenovo ThinkPad E16 G2 16"" WUXGA",13738.0,Ryzen 7 7735HS,16 GB RAM,1 TB SSD,Komplett,16.0,1024.0,Ryzen 7 7735HS,8.0
"Lenovo V15 G4 15,6"" Full HD",6613.0,Ryzen 5-7520U,16 GB RAM,512 GB SSD,Komplett,16.0,512.0,Ryzen 5-7520U,8.0
"Lenovo V15 G4 15,6"" Full HD",6613.0,Ryzen 5-7520U,16 GB RAM,512 GB SSD,Komplett,16.0,512.0,Ryzen 5-7520U,8.0
"Lenovo V15 G4 15,6"" Full HD",6613.0,Ryzen 5-7520U,16 GB RAM,512 GB SSD,Komplett,16.0,512.0,Ryzen 5-7520U,6.0
"Lenovo V15 G4 15,6"" Full HD",6613.0,Ryzen 5-7520U,16 GB RAM,512 GB SSD,Komplett,16.0,512.0,Ryzen 5-7520U,6.0
"Lenovo V15 G4 15,6"" Full HD",6613.0,Ryzen 5-7520U,16 GB RAM,512 GB SSD,Komplett,16.0,512.0,Ryzen 5-7520U,6.0
"HP Laptop 15-fd0054no 15,6"" FHD",9490.0,Core i5-1334U,16 GB RAM,512 GB SSD,Komplett,16.0,512.0,Core i5-1334U,6.0
"Lenovo ThinkBook 14 G7 14"" WUXGA",9988.0,Ryzen 5-7535HS,16GB RAM,512GB SSD,Komplett,16.0,512.0,Ryzen 5-7535HS,9.0
"Lenovo ThinkBook 14 G7 14"" WUXGA",9988.0,Ryzen 5-7535HS,16GB RAM,512GB SSD,Komplett,16.0,512.0,Ryzen 5-7535HS,8.0
"Lenovo ThinkBook 14 G7 14"" WUXGA",9988.0,Ryzen 5-7535HS,16GB RAM,512GB SSD,Komplett,16.0,512.0,Ryzen 5-7535HS,9.0
