Name,Price,CPU,RAM,Storage,GPU,Retailer,RAM_GB,Storage_GB,TextFeatures,Cluster
"Lenovo Chromebook Plus IdeaPad Slim 3 i3/8/256 14"" bärbar dator",5989,Intel® Core™ i3-N305 processor,"8 GB DDR5 RAM, 256 GB eMMC",,unknown_gpu,Elgiganten,8.0,8.0,Intel® Core™ i3-N305 processor unknown_gpu,3.0
"Lenovo IdeaPad 1 Celeron/4/128 14"" bärbar dator",4316,Intel Celeron N5100 processor,"4 GB DDR4 RAM, 128 GB Flash",,unknown_gpu,Elgiganten,4.0,4.0,Intel Celeron N5100 processor unknown_gpu,3.0
"Lenovo IdeaPad 1i 14IJL7 Celeron-N4500/4GB/128/TN 14""  bärbar dator",2790,Intel® Celeron N4500 processor,4GB DDR RAM; 128GB Flashlagring,,unknown_gpu,Elgiganten,4.0,4.0,Intel® Celeron N4500 processor unknown_gpu,3.0
"Lenovo IdeaPad 3 15IAU7 i3-12/8/128 15.6"" bärbar dator",6736,Intel® Core™ i3-1215U processor,"8 GB DDR4 RAM, 128 GB SSD",,unknown_gpu,Elgiganten,8.0,8.0,Intel® Core™ i3-1215U processor unknown_gpu,3.0
"Lenovo IdeaPad 3 15IAU7 i5-12/8/512 15.6"" bärbar dator",9996,Intel® Core™ i5-1235U processor,"8 GB DDR4 RAM, 512 GB SSD",,unknown_gpu,Elgiganten,8.0,8.0,Intel® Core™ i5-1235U processor unknown_gpu,3.0
"Lenovo IdeaPad 3 17IAU7 i3-1215U/8GB/128 17"" bärbar dator",6495,Intel® Core™ i3-1215U processor,"8 GB DDR4 RAM, 128 GB M.2 SSD",,unknown_gpu,Elgiganten,8.0,8.0,Intel® Core™ i3-1215U processor unknown_gpu,3.0
"Lenovo IdeaPad 3 17IAU7 Pentium-8505/4GB/128 17"" bärbar dator",5495,Intel® Pentium® Gold 8505 processor,"4 GB DDR4 RAM, 128 GB M.2 SSD",,unknown_gpu,Elgiganten,4.0,4.0,Intel® Pentium® Gold 8505 processor unknown_gpu,3.0
"Lenovo IdeaPad 5 2-in-1 14Q8X9 Snap-8C-SE/16GB/512/OLED 14"" bärbar dator",9990,unknown_cpu,16GB LPDDR5X RAM; 512GB SSD,,unknown_gpu,Elgiganten,16.0,16.0,unknown_cpu unknown_gpu,0.0
"Lenovo IdeaPad 5 2-in-1 14Q8X9 Snap-8C-SE/24GB/512/OLED 14"" bärbar dator+penna",10990,unknown_cpu,24GB LPDDR5X RAM; 512GB SSD,,unknown_gpu,Elgiganten,24.0,24.0,unknown_cpu unknown_gpu,0.0
"Lenovo IdeaPad IP 3 17ABA7 R5-5625U/8GB/512 17"" bärbar dator",7995,AMD Ryzen™ 5 5625U processor,"8 GB DDR4 RAM, 512 GB M.2 SSD",,unknown_gpu,Elgiganten,8.0,8.0,AMD Ryzen™ 5 5625U processor unknown_gpu,7.0
